is,location,trial,set,batch,lat,conc,rep,measure,coldiam,coldiamplug,relgrowth
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,1,2,54.85,51.15,0.745518146
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,2,1,55.1,51.4,0.74916193
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,2,2,54.65,50.95,0.742603119
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,3,1,55.3,51.6,0.752076957
ILSO_6-2b,Illinois,1,2,1,38.90414,0.05,3,2,55.55,51.85,0.75572074
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,1,1,51.85,48.15,0.701792742
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,1,2,49.94,46.24,0.673954234
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,2,1,48.29,44.59,0.649905262
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,2,2,48.89,45.19,0.658650343
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,3,1,48.22,44.52,0.648885002
ILSO_6-2b,Illinois,1,2,1,38.90414,0.1,3,2,48.06,44.36,0.646552981
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,1,1,21.65,17.95,0.26162367
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,1,2,22.08,18.38,0.267890978
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,2,1,21.09,17.39,0.253461595
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,2,2,21.3,17.6,0.256522373
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,3,1,20.74,17.04,0.248360297
ILSO_6-2b,Illinois,1,2,1,38.90414,0.5,3,2,21.58,17.88,0.260603411
ILSO_6-2b,Illinois,1,2,1,38.90414,1,1,1,15.36,11.66,0.169946072
ILSO_6-2b,Illinois,1,2,1,38.90414,1,1,2,15.23,11.53,0.168051304
ILSO_6-2b,Illinois,1,2,1,38.90414,1,2,1,16.29,12.59,0.183500947
ILSO_6-2b,Illinois,1,2,1,38.90414,1,2,2,15.93,12.23,0.178253899
ILSO_6-2b,Illinois,1,2,1,38.90414,1,3,1,16.73,13.03,0.189914007
ILSO_6-2b,Illinois,1,2,1,38.90414,1,3,2,16.59,12.89,0.187873488
ILSO_6-33C,Illinois,1,2,2,38.90414,0,1,1,75.32,71.62,1.001514904
ILSO_6-33C,Illinois,1,2,2,38.90414,0,1,2,76.86,73.16,1.023049852
ILSO_6-33C,Illinois,1,2,2,38.90414,0,2,1,74,70.3,0.983056378
ILSO_6-33C,Illinois,1,2,2,38.90414,0,2,2,75.03,71.33,0.997459622
ILSO_6-33C,Illinois,1,2,2,38.90414,0,3,1,75.05,71.35,0.997739297
ILSO_6-33C,Illinois,1,2,2,38.90414,0,3,2,75.01,71.31,0.997179947
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,1,1,71.11,67.41,0.942643392
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,1,2,73.94,70.24,0.982217354
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,2,1,72.28,68.58,0.959004358
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,2,2,70.4,66.7,0.932714942
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,3,1,72.18,68.48,0.957605985
ILSO_6-33C,Illinois,1,2,2,38.90414,0.01,3,2,71.87,68.17,0.953271028
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,1,1,55.13,51.43,0.71918335
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,1,2,55.31,51.61,0.721700422
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,2,1,57.66,53.96,0.754562193
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,2,2,56.18,52.48,0.733866269
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,3,1,56.22,52.52,0.734425618
ILSO_6-33C,Illinois,1,2,2,38.90414,0.05,3,2,56.53,52.83,0.738760575
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,1,1,46.02,42.32,0.591791549
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,1,2,45.55,41.85,0.585219195
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,2,1,45.9,42.2,0.590113501
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,2,2,45.41,41.71,0.583261472
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,3,1,45.93,42.23,0.590533013
ILSO_6-33C,Illinois,1,2,2,38.90414,0.1,3,2,44.62,40.92,0.572214324
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,1,1,20.05,16.35,0.228634022
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,1,2,19.73,16.03,0.224159228
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,2,1,20.16,16.46,0.230172233
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,2,2,20.15,16.45,0.230032396
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,3,1,20.49,16.79,0.234786865
ILSO_6-33C,Illinois,1,2,2,38.90414,0.5,3,2,20.13,16.43,0.229752721
ILSO_6-33C,Illinois,1,2,2,38.90414,1,1,1,16.84,13.14,0.183746242
ILSO_6-33C,Illinois,1,2,2,38.90414,1,1,2,17.71,14.01,0.195912089
ILSO_6-33C,Illinois,1,2,2,38.90414,1,2,1,17.52,13.82,0.19325518
ILSO_6-33C,Illinois,1,2,2,38.90414,1,2,2,18.17,14.47,0.202344606
ILSO_6-33C,Illinois,1,2,2,38.90414,1,3,1,17.9,14.2,0.198568998
ILSO_6-33C,Illinois,1,2,2,38.90414,1,3,2,18.04,14.34,0.200526721
ILSO_6-39C,Illinois,1,2,2,38.90414,0,1,1,41.44,37.74,0.97987797
ILSO_6-39C,Illinois,1,2,2,38.90414,0,1,2,41.12,37.42,0.971569518
ILSO_6-39C,Illinois,1,2,2,38.90414,0,2,1,42.35,38.65,1.003505128
ILSO_6-39C,Illinois,1,2,2,38.90414,0,2,2,42.42,38.72,1.005322602
ILSO_6-39C,Illinois,1,2,2,38.90414,0,3,1,43.41,39.71,1.031026873
ILSO_6-39C,Illinois,1,2,2,38.90414,0,3,2,42.55,38.85,1.00869791
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,1,1,42.51,38.81,1.007659353
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,1,2,41.95,38.25,0.993119564
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,2,1,42.98,39.28,1.019862391
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,2,2,42.48,38.78,1.006880436
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,3,1,42.48,38.78,1.006880436
ILSO_6-39C,Illinois,1,2,2,38.90414,0.01,3,2,41.77,38.07,0.98844606
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,1,1,33.89,30.19,0.783850448
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,1,2,34.8,31.1,0.807477606
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,2,1,34.21,30.51,0.792158899
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,2,2,33.84,30.14,0.782552252
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,3,1,34.12,30.42,0.789822147
ILSO_6-39C,Illinois,1,2,2,38.90414,0.05,3,2,33.7,30,0.778917305
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,1,1,25.81,22.11,0.574062054
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,1,2,26.04,22.34,0.580033753
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,2,1,26.06,22.36,0.580553031
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,2,2,25.77,22.07,0.573023497
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,3,1,26.31,22.61,0.587044009
ILSO_6-39C,Illinois,1,2,2,38.90414,0.1,3,2,26.34,22.64,0.587822926
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,1,1,10.76,7.06,0.183305206
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,1,2,11.1,7.4,0.192132935
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,2,1,10.07,6.37,0.165390108
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,2,2,10.93,7.23,0.18771907
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,3,1,11.06,7.36,0.191094379
ILSO_6-39C,Illinois,1,2,2,38.90414,0.5,3,2,10.61,6.91,0.179410619
ILSO_6-39C,Illinois,1,2,2,38.90414,1,1,1,7.09,3.39,0.088017655
ILSO_6-39C,Illinois,1,2,2,38.90414,1,1,2,7.83,4.13,0.107230949
ILSO_6-39C,Illinois,1,2,2,38.90414,1,2,1,8.18,4.48,0.116318318
ILSO_6-39C,Illinois,1,2,2,38.90414,1,2,2,8.25,4.55,0.118135791
ILSO_6-39C,Illinois,1,2,2,38.90414,1,3,1,8.31,4.61,0.119693626
ILSO_6-39C,Illinois,1,2,2,38.90414,1,3,2,8.26,4.56,0.11839543
ILSO_6-15b,Illinois,1,2,3,38.90414,0,1,1,68.73,65.03,1.011143361
ILSO_6-15b,Illinois,1,2,3,38.90414,0,1,2,70.37,66.67,1.036643516
ILSO_6-15b,Illinois,1,2,3,38.90414,0,2,1,70.74,67.04,1.0423966
ILSO_6-15b,Illinois,1,2,3,38.90414,0,2,2,71.04,67.34,1.047061263
ILSO_6-15b,Illinois,1,2,3,38.90414,0,3,1,63.98,60.28,0.937286203
